STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
02,           0176,1,3,1,00922,0,03,130,38970,'GRAVINA ISLAND F.T. NO 1',,'FERRY SHUTTLE RT  ','KETCHIKAN AIRPORT        ',99.99,0,0,,,55210000,131415400,199,2,01,01,17,1998,1,0,800,2010,5,7.6,0,0,0,0,0,0,0,5,0,0,0,A,5,5,3,08,3,02,1,1,4.1,43.3,49.4,0,1.8,4.1,6.2,99.99,N,0,N,99.9,0,6,6,6,8,N,5,63,5,32.4,6,2,N,5,7,6,,,0,611,24,Y24,Y60,N  ,0906,0811,,0,0,0,,,,,0,N,3,,1,0,0,3,9,0,0,5,0,,Y,5,850,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,63.4,2
02,           0177,1,3,1,00939,0,03,280,36770,'KAKE FERRY TERMINAL     ',,'IRR:MARINE HWY RT ','KAKE                     ',99.99,0,0,,,56583000,133573000,199,2,01,01,07,1975,1,0,50,2011,5,5.8,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,08,0,00,1,0,5,46.3,50.6,0,0,4.9,5.1,99.99,N,0,N,99.9,0,6,5,5,8,N,2,63,2,32.4,5,3,N,5,9,8,,,0,511,24,Y24,Y60,N  ,0906,0811,,0,0,0,,,,,0,N,3,,0,1,0,5,9,0,9,1,0,2,Y,5,60,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,64.8,2
02,           0178,1,3,1,00927,0,03,201,48870,'METLAKATLA FERRY TERM   ',,'IRR:MARINE HWY RT ','METLAKATLA               ',99.99,0,0,,,55074800,131341800,199,2,01,01,07,1973,1,0,93,2011,5,8.8,0,0,0,1,1,1,0,5,0,0,0,A,1,5,3,08,0,00,1,0,4.8,46.3,50.6,0,0,4.9,5.1,99.99,N,0,N,99.9,0,6,5,5,7,N,2,63,2,32.4,5,3,N,5,8,8,,,0,611,24,Y24,Y60,N  ,0906,0811,,0,0,0,,,,,0,N,3,,0,1,0,5,9,0,9,10,0,,Y,5,110,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,66.2,2
02,           0179,1,3,1,00918,0,03,231,33360,'HOONAH FERRY TERMINAL   ',,'IRR:AIRPORT ROAD  ','HOONAH                   ',99.99,0,0,,,55074800,131341800,161,2,01,01,07,2011,1,0,63,2011,0,5.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.8,39.9,40.5,1.1,0,4.8,5.1,30.45,N,0,N,30.2,0,9,9,9,8,N,5,54.4,5,32.7,9,8,N,5,9,8,,,,312,24,N  ,Y60,N  ,,0811,,,,,,,,_              ,0,N,3,,0,0,0,3,9,0,0,20,0,2,Y,6,110,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,77.7,0
02,           0180,1,3,1,00851,0,05,261,17410,'CORDOVA FERRY TERMINAL  ',,'FERRY TERMINAL RD ','CORDOVA                  ',99.99,0.161,0,,,60332400,145452400,161,2,01,01,07,2004,1,0,100,2010,5,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,05,3,02,1,1,4.3,42.1,56.4,1.8,0,4.1,6.4,99.99,N,0,N,99.9,0,8,8,8,9,N,5,63.5,5,32.7,8,5,N,5,9,7,,,,812,24,Y24,Y60,N  ,0912,0912,,,,,,,,_              ,0,N,3,,0,0,0,3,0,0,9,20,0,2,Y,5,110,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,75.1,0
02,           0181,1,3,1,00998,0,03,231,3440,'ANGOON FERRY TERMINAL   ',,'IRR:FERRY ACCESS  ','ANGOON                   ',99.99,0,0,,,57301800,134350000,199,2,01,01,07,2011,1,0,46,2011,0,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.8,41.8,42.4,1.2,0,4.8,5.1,30.45,N,0,N,99.9,0,9,9,9,8,N,5,54.4,5,32.7,9,8,N,5,8,8,,,,312,24,N  ,Y60,N  ,,0312,,,,,,,,_              ,0,N,3,,0,0,0,3,9,0,0,1,0,2,Y,6,60,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,77.7,0
02,           0182,1,3,1,00924,0,03,201,40400,'CLARK BAY FERRY TERMINAL',,'MARINE HWY ROUTE  ','HOLLIS                   ',99.99,0,0,,,55292400,132375400,199,2,01,01,07,1977,1,0,236,2010,5,8.5,0,0,0,0,0,0,N,5,0,0,0,A,1,5,3,08,0,00,1,0,4.9,46.3,50.6,0,0,4.9,5.5,99.99,N,0,N,99.9,0,6,5,5,9,N,2,63,2,32.4,5,2,N,5,9,7,,,0,911,24,Y24,Y60,N  ,1006,0811,,0,0,0,,,,,0,N,3,,0,0,0,5,9,0,9,30,0,,Y,5,250,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,62.3,2
02,           0183,1,3,1,00830,0,05,261,75380,'TATITLEK DOCK           ',,'IRR:MARINE HWY RT ','TATITLEK  COPPER MTN RD  ',99.99,0,0,,,60513600,146403000,199,2,25,25,07,1995,1,0,10,2010,9,7.3,0,0,1,0,0,0,0,5,0,0,0,A,1,5,3,05,3,05,13,10,6,18.3,339.5,0,0,6.1,12.2,99.99,N,0,N,99.9,0,7,6,7,9,N,5,63,5,32.4,6,5,N,4,9,6,,,0,812,24,Y24,Y60,N  ,0912,0912,,0,0,0,,,,,0,N,3,,0,1,0,2,1,0,0,1,0,2,Y,5,15,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,85.9,0
02,           0184,1,3,1,00400,0,01,261,64340,'CHENEGA DOCK            ',,'IRR:MARINE HWY RT ','CHENEGA BAY              ',99.99,0,0,,,60035400,148001800,2,2,25,25,06,1995,1,0,10,2010,9,9.8,0,0,1,N,N,N,N,5,0,0,0,A,1,5,3,05,0,00,13,0,6,13.7,163.1,0,0,6.1,12.2,99.99,N,0,N,99.9,0,7,7,6,9,N,5,63,5,32.4,6,5,N,5,8,8,,,0,812,24,Y24,Y60,N  ,0912,0908,,0,0,0,,,,,0,N,3,,0,1,0,2,1,0,0,1,0,2,Y,5,15,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,94,0
02,           0185,1,3,1,00400,0,01,261,64340,'CHENEGA RAMP            ',,'IRR:MARINE HWY RT ','CHENEGA BAY              ',99.99,0,0,,,60035400,148001200,2,2,25,25,06,1995,1,0,10,2010,9,9.8,0,0,0,N,N,N,N,5,0,0,0,A,1,5,3,05,0,00,2,0,4.8,18,39.9,0,0,4.9,11,99.99,N,0,N,99.9,0,6,7,5,8,N,5,63,5,32.4,5,3,N,5,8,8,,,0,812,24,Y24,Y60,N  ,0912,0908,,0,0,0,,,,,0,N,3,,0,1,0,2,1,0,0,1,0,2,Y,5,15,2030,0,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,72.5,2
02,           0186,1,5,0,00000,0,01,150,40950,'OLD HARBOR CITY DOCK    ',,'MARINE ROUTE      ','OLD HARBOR               ',30.45,0,0,,,57121800,153180000,199,3,04,04,09,2011,1,0,100,2012,9,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,7,02,7,02,2,9,4.9,15.2,125.3,0,0,4.9,5.5,30.45,N,0,N,0,0,7,7,7,7,N,5,54.4,5,32.7,7,3,N,5,7,5,,,,213,24,N  ,Y24,N  ,,0213,,,,,,,,_              ,0,N,1,,0,0,0,2,1,0,0,1,0,2,Y,T,120,2032,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,73.3,2
02,           0190,1,3,0,00000,0,03,130,38970,'KETCHIKAN TRANSFER FAC  ',,'INTER ISLAND RT   ','KETCHIKAN                ',99.99,0.161,0,,,55210600,131412400,161,2,01,01,07,2003,1,0,50,2010,6,3.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,05,0,00,1,0,3.7,42.7,43.6,0,1.8,4.1,6.1,99.99,N,0,N,99.9,0,7,6,7,9,N,5,64.8,5,32.7,6,5,N,5,7,6,,,,611,24,Y24,Y60,N  ,0906,0811,,,,,,,,_              ,0,N,3,,0,0,0,3,0,0,9,,0,,Y,5,60,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,76.5,0
02,           0191,1,3,1,00093,0,03,110,36400,'AUKE BAY E STERN BERTH  ',,'FERRY TERMINAL RD ','AUKE BAY                 ',99.99,0.161,1,0000296605,0,58230000,134405400,2,2,01,01,14,2004,1,0,58,2010,5,9.1,0,45,0,1,1,1,0,5,0,0,0,A,1,5,3,05,3,02,1,5,4.1,42.4,70.4,0,1.8,6.6,8.8,99.99,N,0,N,99.9,0,8,7,8,9,N,5,64.7,5,32.7,7,5,N,5,9,9,,,,811,24,Y24,Y60,N  ,1006,0811,,,,,,,,_              ,0,N,3,,1,0,0,3,0,0,9,20,0,2,Y,5,100,2030,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,94,0
